ip: 127.0.0.1; fd: 5; Port: 4250; 09-08-24 13:51:14 GMT; /to_delete/folder/test; GET /to_delete/folder/test; 200  OK
ip: 127.0.0.1; fd: 5; Port: 4250; 09-08-24 13:51:24 GMT; Client::handleDelete: fail to unlink: ./website/to_delete/folder; DELETE /to_delete/folder; 500  Internal Server Error
ip: 127.0.0.1; fd: 5; Port: 4250; 09-08-24 13:52:08 GMT; /to_delete/folder/test; DELETE /to_delete/folder/test; 204  No Content
ip: 127.0.0.1; fd: 5; Port: 4250; 09-08-24 13:52:10 GMT; Client::handleDelete: fail to unlink: ./website/to_delete/folder/; DELETE /to_delete/folder/; 500  Internal Server Error
ip: 127.0.0.1; fd: 5; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 6; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 7; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 8; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 9; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 10; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 11; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 12; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 13; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 14; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 15; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 16; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 17; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 18; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 19; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 20; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 21; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 22; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 23; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 24; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 25; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 26; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 27; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 28; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 29; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 30; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 31; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 32; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 33; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 34; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 35; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 36; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 37; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 38; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 39; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 40; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 41; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 42; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 43; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 44; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 45; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 46; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 47; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 48; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 49; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 50; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 51; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 52; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 53; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 54; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
ip: 127.0.0.1; fd: 55; Port: 4250; 09-08-24 13:58:48 GMT; Client::handleDelete: fail to unlink: ./website/dumas/; DELETE /dumas/; 500  Internal Server Error
